$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,4e93a00ce81bb6ce138297e8
$COL,EVNT,time,description
$UNIT,EVNT,s,
$DATA
$EVNT,55492.846,"6/15 timers used before active mode initialization"
$EVNT,56624.893,"----------"
$EVNT,56624.896,"976/2048 slots used in GNSS buffer"
$EVNT,56624.899,"0 ms average time spent in GNSS update task"
$EVNT,56624.902,"3 ms maximum time spent in GNSS update task"
$EVNT,56624.905,"122 ms maximum time between calls to GNSS update task"
$EVNT,56624.910,"----------"
$EVNT,56624.913,"1698/2048 slots used in audio buffer"
$EVNT,56624.917,"0 ms average time spent in audio update task"
$EVNT,56624.923,"1 ms maximum time spent in audio update task"
$EVNT,56624.926,"79 ms maximum time between calls to audio update task"
$EVNT,56624.929,"----------"
$EVNT,56624.932,"6/15 timers used after active mode de-initialization"
$EVNT,56624.935,"----------"
$EVNT,56624.938,"2/30 slots used in $BARO message buffer"
$EVNT,56624.941,"1/3 slots used in $HUM message buffer"
$EVNT,56624.977,"1/15 slots used in $MAG message buffer"
$EVNT,56624.980,"3/6 slots used in $GNSS message buffer"
$EVNT,56624.986,"1/2 slots used in $TIME message buffer"
$EVNT,56624.989,"2/5 slots used in $RAW message buffer"
$EVNT,56624.992,"3/667 slots used in $IMU message buffer"
$EVNT,56624.996,"1/2 slots used in $VBAT message buffer"
$EVNT,56624.999,"----------"
$EVNT,56625.002,"1 ms average time spent in log update task"
$EVNT,56625.005,"65 ms maximum time spent in log update task"
$EVNT,56625.010,"65 ms maximum time between calls to log update task"
$EVNT,56625.013,"----------"
$EVNT,56625.016,"3 ms average time spent in log sync task"
$EVNT,56625.022,"40 ms maximum time spent in log sync task"
$EVNT,56625.025,"348 ms maximum time between calls to log sync task"
