$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,724fd609f62a5cb068670fc0
$COL,EVNT,time,description
$UNIT,EVNT,s,
$DATA
$EVNT,138785.566,"6/15 timers used before active mode initialization"
$EVNT,139435.504,"----------"
$EVNT,139435.507,"1079/2048 slots used in GNSS buffer"
$EVNT,139435.510,"0 ms average time spent in GNSS update task"
$EVNT,139435.513,"3 ms maximum time spent in GNSS update task"
$EVNT,139435.517,"81 ms maximum time between calls to GNSS update task"
$EVNT,139435.522,"----------"
$EVNT,139435.525,"1152/2048 slots used in audio buffer"
$EVNT,139435.528,"0 ms average time spent in audio update task"
$EVNT,139435.564,"1 ms maximum time spent in audio update task"
$EVNT,139435.567,"43 ms maximum time between calls to audio update task"
$EVNT,139435.570,"----------"
$EVNT,139435.573,"6/15 timers used after active mode de-initialization"
$EVNT,139435.576,"----------"
$EVNT,139435.579,"1/30 slots used in $BARO message buffer"
$EVNT,139435.584,"1/3 slots used in $HUM message buffer"
$EVNT,139435.587,"1/15 slots used in $MAG message buffer"
$EVNT,139435.590,"2/6 slots used in $GNSS message buffer"
$EVNT,139435.594,"1/2 slots used in $TIME message buffer"
$EVNT,139435.600,"3/5 slots used in $RAW message buffer"
$EVNT,139435.603,"12/667 slots used in $IMU message buffer"
$EVNT,139435.606,"1/2 slots used in $VBAT message buffer"
$EVNT,139435.609,"----------"
$EVNT,139435.612,"1 ms average time spent in log update task"
$EVNT,139435.617,"55 ms maximum time spent in log update task"
$EVNT,139435.620,"56 ms maximum time between calls to log update task"
$EVNT,139435.623,"----------"
$EVNT,139435.626,"3 ms average time spent in log sync task"
$EVNT,139435.634,"40 ms maximum time spent in log sync task"
$EVNT,139435.640,"337 ms maximum time between calls to log sync task"
