$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,a1997456d69dd17124414fa9
$COL,EVNT,time,description
$UNIT,EVNT,s,
$DATA
$EVNT,152650.383,"6/15 timers used before active mode initialization"
$EVNT,153632.841,"----------"
$EVNT,153632.844,"1008/2048 slots used in GNSS buffer"
$EVNT,153632.878,"0 ms average time spent in GNSS update task"
$EVNT,153632.882,"3 ms maximum time spent in GNSS update task"
$EVNT,153632.885,"77 ms maximum time between calls to GNSS update task"
$EVNT,153632.890,"----------"
$EVNT,153632.896,"1692/2048 slots used in audio buffer"
$EVNT,153632.899,"0 ms average time spent in audio update task"
$EVNT,153632.902,"1 ms maximum time spent in audio update task"
$EVNT,153632.905,"70 ms maximum time between calls to audio update task"
$EVNT,153632.909,"----------"
$EVNT,153632.912,"6/15 timers used after active mode de-initialization"
$EVNT,153632.915,"----------"
$EVNT,153632.918,"1/30 slots used in $BARO message buffer"
$EVNT,153632.923,"1/3 slots used in $HUM message buffer"
$EVNT,153632.929,"1/15 slots used in $MAG message buffer"
$EVNT,153632.932,"3/6 slots used in $GNSS message buffer"
$EVNT,153632.935,"1/2 slots used in $TIME message buffer"
$EVNT,153632.938,"3/5 slots used in $RAW message buffer"
$EVNT,153632.942,"2/667 slots used in $IMU message buffer"
$EVNT,153632.945,"1/2 slots used in $VBAT message buffer"
$EVNT,153632.948,"----------"
$EVNT,153632.951,"1 ms average time spent in log update task"
$EVNT,153632.987,"50 ms maximum time spent in log update task"
$EVNT,153632.990,"53 ms maximum time between calls to log update task"
$EVNT,153632.996,"----------"
$EVNT,153632.999,"3 ms average time spent in log sync task"
$EVNT,153633.002,"48 ms maximum time spent in log sync task"
$EVNT,153633.005,"346 ms maximum time between calls to log sync task"
