$FLYS,1
$VAR,FIRMWARE_VER,v2024.06.09.starter_pistol
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,3ee6304fa45e4bac03d2783d
$COL,GNSS,time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc
$UNIT,GNSSdeg,deg,m,m/s,m/s,m/s,m,m,m/s
$DATA,2025-07-29T15:21:24.150Z,40.2685418,-111.6303819,1835.822,-13.08,-36.89,15.68,0.54,0.746,0.22
$GNSS,2025-07-29T15:21:24.200Z,40.268536,-111.6304036,1835.031,-13.01,-36.9,15.67,0.54,0.746,0.22
$GNSS,2025-07-29T15:21:24.250Z,40.2685301,-111.6304252,1834.229,-13.04,-36.86,15.74,0.541,0.746,0.22
$GNSS,2025-07-29T15:21:24.300Z,40.2685242,-111.6304469,1833.448,-13.14,-36.87,15.77,0.541,0.746,0.21
$GNSS,2025-07-29T15:21:24.350Z,40.2685182,-111.6304685,1832.67,-13.13,-36.8,15.72,0.541,0.746,0.21
$GNSS,2025-07-29T15:21:24.400Z,40.2685123,-111.6304902,1831.886,-13.2,-36.83,15.66,0.541,0.746,0.22
$GNSS,2025-07-29T15:21:24.450Z,40.2685063,-111.6305118,1831.093,-13.33,-36.88,15.59,0.541,0.746,0.22
$GNSS,2025-07-29T15:21:24.500Z,40.2685003,-111.6305335,1830.32,-13.32,-36.94,15.53,0.541,0.746,0.22
$GNSS,2025-07-29T15:21:24.550Z,40.2684943,-111.6305553,1829.543,-13.4,-37.01,15.61,0.542,0.746,0.22
$GNSS,2025-07-29T15:21:24.600Z,40.2684882,-111.630577,1828.756,-13.43,-36.97,15.64,0.542,0.746,0.21
$GNSS,2025-07-29T15:21:24.650Z,40.2684822,-111.6305986,1827.966,-13.43,-36.92,15.61,0.542,0.746,0.22
$GNSS,2025-07-29T15:21:24.700Z,40.2684762,-111.6306203,1827.18,-13.44,-36.91,15.54,0.542,0.746,0.21
$GNSS,2025-07-29T15:21:24.750Z,40.2684701,-111.630642,1826.41,-13.47,-36.96,15.47,0.542,0.746,0.21
$GNSS,2025-07-29T15:21:24.800Z,40.268464,-111.6306637,1825.635,-13.53,-36.85,15.54,0.542,0.746,0.21
$GNSS,2025-07-29T15:21:24.850Z,40.2684579,-111.6306854,1824.854,-13.47,-36.89,15.59,0.543,0.746,0.21
$GNSS,2025-07-29T15:21:24.900Z,40.2684518,-111.6307072,1824.08,-13.6,-37.06,15.55,0.543,0.746,0.21
$GNSS,2025-07-29T15:21:24.950Z,40.2684456,-111.6307289,1823.302,-13.69,-37.04,15.5,0.543,0.746,0.21
$GNSS,2025-07-29T15:21:25.000Z,40.2684395,-111.6307506,1822.521,-13.58,-36.96,15.47,0.543,0.746,0.21
$GNSS,2025-07-29T15:21:25.050Z,40.2684335,-111.6307723,1821.736,-13.52,-36.98,15.54,0.543,0.746,0.21
