time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2021-08-07T18:31:25.400Z,43.747298,-110.7799624,3766.27,0.12,-0.02,0.19,0.825,0.985,0.22,350.53768,0.97513,,20
2021-08-07T18:31:25.600Z,43.7472984,-110.7799627,3766.198,0.22,0.08,0.38,0.815,0.973,0.21,19.98311,0.47052,,20
2021-08-07T18:31:25.800Z,43.7472992,-110.7799627,3766.061,0.29,0.07,0.35,0.807,0.96,0.18,13.57043,0.3914,,20
2021-08-07T18:31:26.000Z,43.7472998,-110.7799623,3765.941,0.26,0.33,0.45,0.8,0.948,0.19,51.76617,0.30863,,20
2021-08-07T18:31:26.400Z,43.7473013,-110.779961,3765.632,0.49,0.07,1.14,0.796,0.941,0.22,8.1301,0.17702,,20
2021-08-07T18:31:26.600Z,43.7473029,-110.7799606,3765.337,1.05,0.15,1.36,0.79,0.929,0.19,8.1301,0.11016,,20
2021-08-07T18:31:26.800Z,43.747307,-110.7799594,3765.246,3.31,0.81,-0.24,0.782,0.915,0.17,13.75079,0.04976,,20
2021-08-07T18:31:27.000Z,43.7473143,-110.7799572,3765.127,4.58,1.17,0.75,0.774,0.906,0.17,14.33022,0.03552,,20
2021-08-07T18:31:27.200Z,43.7473222,-110.7799546,3764.67,3.97,1.1,3.65,0.767,0.897,0.19,15.48689,0.03452,,20
2021-08-07T18:31:27.400Z,43.7473295,-110.779952,3763.679,3.88,1.1,5.8,0.76,0.889,0.2,15.82831,0.02831,,20
2021-08-07T18:31:27.600Z,43.7473367,-110.7799491,3762.406,3.81,1.25,7.04,0.753,0.88,0.2,18.16384,0.02469,,20
2021-08-07T18:31:27.800Z,43.7473437,-110.7799462,3760.774,3.77,1,9.09,0.747,0.871,0.2,14.85572,0.02022,,20
2021-08-07T18:31:28.000Z,43.7473509,-110.7799435,3758.764,3.95,1.18,10.72,0.743,0.863,0.21,16.63268,0.01828,,20
2021-08-07T18:31:28.200Z,43.7473584,-110.7799404,3756.522,4.09,1.29,12.4,0.739,0.851,0.21,17.50545,0.01601,,20
2021-08-07T18:31:28.400Z,43.747366,-110.7799373,3753.854,4.24,1.3,14.26,0.736,0.841,0.22,17.04574,0.01473,,20
2021-08-07T18:31:28.600Z,43.7473734,-110.7799341,3750.846,3.84,1.3,15.85,0.734,0.832,0.23,18.7031,0.01406,,19
